geo,name,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
can,Canada,58.0111,59.17265,62.28002,62.28002,62.28002,62.38007,63.08958,67.56713,69.28762,68.53697,69.66907,69.95132,68.81157,70.4028,69.26027,73.34804,71.13999,71.13999,72.692,76.23651,76.23651,76.23651,78.68944,78.68944,78.68944,81.88444,81.88444,81.88444,83.36716,83.60281,82.12184,79.68298,76.7229,78.68031,79.28987,79.28987,78.33188,78.33188,78.33188,78.33188,80.24758,82.42303,84.30911,84.30911,89.0622,81.52572,79.75314
che,Switzerland,57.16412,57.42994,57.42994,57.42994,58.00532,59.18584,61.28759,61.28759,61.28759,61.28759,62.6906,62.6906,63.00917,63.00917,63.00917,68.21061,68.55842,68.55842,68.72845,68.72845,68.92875,69.14852,69.14852,70.31593,70.31593,74.98088,74.98088,74.98088,78.29503,78.47636,78.47636,72.75675,74.52254,75.12028,74.52254,75.69162,75.89871,75.89871,75.89871,75.89871,76.27198,75.08656,75.08656,76.51306,76.90418,84.40422,84.40422
chl,Chile,23.89933,23.89933,26.54118,26.54118,26.54118,28.60373,28.60373,32.28648,32.28648,32.28648,32.50241,32.50241,32.50241,32.50241,30.82801,46.03726,46.03726,46.6087,44.67074,46.89759,46.89759,46.63382,47.43646,47.43646,47.43646,59.0977,59.28201,59.28201,59.28201,59.28201,61.27421,61.27421,61.71719,61.71719,61.07041,61.07041,61.07041,61.07041,61.53642,64.51608,63.59402,59.7948,61.40729,60.6118,61.40729,62.78346,61.78291
chn,China,44.29688,44.67636,44.67636,43.71174,43.71174,46.35371,46.49883,46.49883,46.49883,46.7206,46.7206,45.10525,45.10525,45.10525,45.10525,46.14889,46.14889,46.35532,46.35532,46.35532,46.35532,46.35532,46.35532,46.57139,46.57139,47.6078,47.6078,47.6078,47.82291,47.70422,47.70422,47.9237,46.14016,48.26494,46.45543,49.51391,49.9997,49.70781,49.36535,49.51675,49.64685,49.75647,49.97209,49.97209,50.04362,50.04362,48.79899
civ,Cote d'Ivoire,36.6873,36.6873,36.6873,36.6873,36.6873,35.60751,37.80683,37.80683,37.80683,37.80683,38.05287,38.05287,38.05287,38.05287,38.26998,40.20985,40.20985,40.20985,40.20985,44.27067,44.96506,46.54333,48.63067,48.63067,48.92773,53.8166,53.23068,53.23068,51.50276,51.50276,51.50276,51.90344,52.10808,51.90344,51.90344,52.53894,52.53894,52.66271,51.93826,51.93826,51.93826,50.85037,51.36746,51.36746,51.55476,52.12777,53.65015
cmr,Cameroon,24.78102,24.78102,24.78102,25.8385,25.8385,25.8385,29.41581,28.10225,30.21782,33.79578,32.74514,32.74514,32.74514,30.56564,30.56564,38.03294,37.94653,39.2698,37.80497,39.2698,39.2698,39.31915,38.36885,39.29397,39.34669,45.57121,47.97448,48.54821,47.23025,47.23025,47.23025,47.23025,47.79467,47.79467,47.79467,50.46078,50.65138,50.65138,51.5682,51.5682,51.5682,50.7396,52.62471,49.7996,52.02768,52.34666,53.34026
cod,"Congo, Dem. Rep.",23.65575,23.65575,20.86589,20.86589,20.86589,27.14283,26.91532,27.76792,27.76792,27.76792,27.76792,27.76792,26.98037,31.78735,30.47136,30.84454,30.55947,33.46559,37.27665,38.70885,38.70885,38.70885,38.70885,38.94556,38.94556,40.29099,39.00259,39.00259,41.37961,40.079,40.079,39.81733,39.81733,39.81733,39.81733,40.78923,40.96312,41.17144,41.39171,41.39171,39.6089,42.32296,45.15284,45.32293,44.59722,44.59722,45.9311
cog,"Congo, Rep.",24.60566,25.06044,24.32272,24.32272,25.22639,25.22639,27.37161,27.37161,27.37161,27.51198,27.84839,27.84839,27.84839,27.84839,26.61989,33.67507,32.82408,32.82408,23.95154,26.23782,26.23782,26.23782,24.52361,26.35029,26.35029,26.35029,26.35029,28.39256,26.84761,26.84761,26.84761,26.84761,26.85522,26.85522,26.85522,27.80593,26.157,30.8381,30.8381,30.99679,30.99679,29.35653,31.65781,34.6276,38.30884,38.68889,34.1325
col,Colombia,31.93786,31.93786,31.93786,31.86888,31.86888,34.44484,34.81695,34.57159,34.57159,33.41456,34.57159,34.97761,33.80502,33.80502,34.97761,40.41536,52.31559,53.22621,53.49366,53.49366,53.49366,54.44413,54.44413,54.63418,54.63418,54.88763,54.88763,54.88763,54.88763,54.88763,54.88763,52.73009,54.27962,52.73009,52.73009,54.06445,54.06445,54.06445,54.06445,54.82181,54.82181,53.84514,53.84514,54.6546,54.6546,50.64665,49.24534
com,Comoros,29.55695,42.77643,42.77643,42.77643,32.80413,27.74211,27.74211,27.74211,27.74211,27.74211,28.13194,28.13194,28.13194,28.13194,28.13194,36.19487,37.77553,37.77553,38.32036,36.75783,36.75783,36.75783,35.29775,35.58376,37.7775,39.32543,39.97656,39.97656,40.21389,37.24535,39.22195,36.72138,36.72138,37.50418,36.99121,37.50418,37.50418,41.20885,41.5621,40.30545,39.74636,44.56296,42.77649,41.00564,43.28405,46.08831,46.08831
cpv,Cape Verde,39.51941,43.01561,43.01561,43.01561,43.01561,43.93662,43.93662,44.21936,44.21936,44.21936,44.21936,44.21936,44.52196,44.52196,44.52196,44.52196,43.27771,43.61104,45.99983,46.29513,47.60321,47.85615,47.85615,47.85615,47.85615,49.05697,48.99698,52.92872,52.92872,53.13082,53.13082,53.70361,54.10459,57.59646,55.96231,56.20277,56.38907,59.96548,60.21682,58.96083,60.46457,56.25728,57.14305,57.14305,57.33959,56.79949,59.64659
cri,Costa Rica,44.85998,45.59295,45.59295,46.00768,47.25957,49.77125,51.3484,51.84788,52.11541,51.60935,51.60935,53.61441,58.43839,60.30543,61.06731,66.002,67.4934,67.4934,67.4934,65.87116,67.69005,67.69005,67.69005,69.68134,68.42542,77.04356,77.04356,81.01097,81.01097,81.01097,82.73381,83.62263,81.17689,81.17689,81.17689,83.62263,83.62263,83.62263,83.62263,83.10189,80.43053,80.43053,80.43053,81.0464,81.0464,81.0464,84.17496
cub,Cuba,57.22053,58.60492,58.60492,58.60492,65.00531,65.00531,63.93803,64.12505,64.12505,64.12505,64.12505,67.01667,65.90546,66.54222,66.76716,70.76757,68.55698,68.83216,67.94681,67.94681,68.23767,68.23767,68.54122,69.12897,69.12897,69.44916,69.44916,71.62039,72.32066,71.2802,71.2802,73.58314,71.63801,71.36892,74.39061,71.13313,73.3479,73.3479,71.61099,71.61099,71.61099,68.32931,68.86531,69.14466,74.20187,72.85165,72.85165
cyp,Cyprus,41.36125,42.95087,43.26239,43.26239,43.60743,45.84768,44.22615,46.08113,46.08113,44.48352,44.28955,46.16245,46.16245,46.16245,46.16245,52.35374,56.92305,56.92305,54.97594,54.97594,55.27112,55.41699,55.41699,57.21997,57.21997,61.85972,62.49519,62.49519,60.94599,64.91256,66.66197,64.87882,66.75517,67.92018,67.74877,68.05482,66.21907,65.10183,64.76102,65.22503,65.22503,70.9255,70.13609,70.64658,66.4048,72.32023,66.87811
cze,Czech Republic,56.40896,56.64073,56.64073,56.64073,56.99606,56.99606,53.62377,58.25177,58.25177,53.62377,58.25177,60.59281,58.72561,60.59281,60.73863,71.48355,76.41473,76.00736,76.146,76.54036,76.54036,77.34683,77.34683,77.34683,77.34683,77.34683,77.34683,78.06622,75.53215,78.06622,75.53215,78.26986,78.26986,78.26986,78.26986,77.4661,79.84675,79.84675,80.0984,80.0984,80.0984,83.51031,78.89021,81.24078,73.40985,71.86205,79.89788
deu,Germany,63.91659,64.02307,66.04645,67.8853,67.8853,66.15788,67.99827,67.99827,68.3852,68.3852,68.3852,68.3852,69.05288,69.05288,69.05288,74.75887,74.75887,76.42137,75.01561,77.03253,77.03253,75.63945,75.63945,81.32278,81.16092,84.52243,84.52243,85.06871,85.06871,86.73864,88.57339,88.57339,90.85596,88.73298,90.85596,90.85596,90.85596,90.85596,90.85596,90.85596,90.85596,92.04143,88.0564,90.0962,90.85596,90.85596,90.85596
dji,Djibouti,,,1.42797,15.08382,15.08382,15.08382,15.08382,15.08382,15.08382,15.08382,15.08382,15.08382,15.08382,15.08382,15.08382,15.08382,16.05434,21.85075,21.85075,21.85075,21.85075,21.85075,21.85075,21.85075,21.85075,23.04663,24.12763,27.71645,34.01965,34.01965,34.01965,36.22393,34.41428,34.41428,34.84767,34.84767,34.84767,34.84767,34.66201,34.84767,34.84767,29.17007,36.60132,34.79851,35.208,35.22169,38.95714
dnk,Denmark,82.89809,82.89809,83.0841,88.8593,90.07728,90.07728,87.39774,89.61195,87.63305,87.63305,87.63305,87.63305,88.45271,91.58066,91.58066,92.44979,92.44979,92.44979,92.44979,92.44979,92.44979,92.44979,92.44979,94.35783,94.35783,94.35783,94.35783,94.35783,94.35783,97.87998,92.86771,91.15428,94.35783,97.87998,97.87998,97.87998,97.87998,97.87998,97.87998,97.87998,97.87998,97.87998,97.87998,97.87998,97.87998,97.87998,97.87998
dom,Dominican Republic,23.29164,23.29164,23.29164,23.10457,31.40574,31.40574,37.24905,35.07616,35.07616,35.07616,35.48173,37.60297,37.60297,37.99013,37.99013,40.13815,40.13815,40.51162,40.51162,37.28754,37.45856,38.54247,46.58764,47.18643,47.32041,47.32041,47.32041,47.71823,47.71823,47.71823,47.71823,47.99006,47.99006,47.99006,47.99006,47.99006,47.99006,48.38516,50.43799,50.43799,48.95453,43.5288,47.06212,47.06212,52.85789,49.71968,56.32839
dza,Algeria,37.94581,37.94581,37.01875,37.01875,37.33688,38.83283,37.17217,36.21538,36.21538,36.77812,36.77812,36.77812,37.13479,37.46047,37.31461,38.68832,38.68832,42.38946,40.25866,42.42915,42.42915,42.42915,41.67654,41.93928,41.93928,45.0973,45.0973,45.71229,45.71229,43.76499,45.71229,45.93352,45.93352,47.38267,46.89591,48.29845,47.85244,52.65084,55.8081,57.13061,57.38678,53.94794,54.00351,58.56143,58.43686,56.68781,52.73273
ecu,Ecuador,17.16227,17.16227,17.16227,17.16227,27.86807,34.24283,33.36631,33.55444,33.55444,34.39916,34.39916,33.82553,33.82553,34.66367,34.66367,40.03323,41.51716,41.2848,39.80703,37.59367,37.77064,40.95523,40.95523,46.372,46.372,50.66845,50.66845,50.50064,50.50064,50.50064,50.50064,51.11632,54.60429,58.14941,58.47877,59.77678,59.77678,60.02754,59.61727,59.61727,59.61727,59.35259,60.29529,60.29529,59.03006,60.29529,59.03904
egy,Egypt,24.93504,24.42224,24.42224,24.42224,26.5728,26.5728,29.65945,30.51632,31.74687,31.00963,32.19939,31.00963,28.49718,28.49718,28.75877,29.84954,29.84954,29.84954,31.60439,29.84954,29.77207,31.54742,31.54742,31.54742,31.54742,34.61517,34.61517,34.61517,32.50366,33.4015,31.41125,31.41125,31.41125,31.61786,31.61786,35.58683,33.52586,33.52586,28.98473,33.31562,35.87903,34.32032,38.01703,38.01703,39.57419,41.28227,41.45721
